[Header]
Data File Name	D:\助燃剂标准品检验\2#煤油\千分一2#煤-乙.qgd
Output Date	2018/4/17
Output Time	17:58:19

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	8700
Start Time(min)	3.000
End Time(min)	31.997
Ret.Time	Absolute Intensity	Relative Intensity
3.000	189418	3.40
3.003	189076	3.39
3.007	185240	3.33
3.010	177030	3.18
3.013	163802	2.94
3.017	148568	2.67
3.020	132802	2.38
3.023	116253	2.09
3.027	102050	1.83
3.030	90587	1.63
3.033	82661	1.48
3.037	78010	1.40
3.040	78009	1.40
3.043	82965	1.49
3.047	95200	1.71
3.050	112119	2.01
3.053	133066	2.39
3.057	158892	2.85
3.060	187249	3.36
3.063	214814	3.86
3.067	241029	4.33
3.070	265957	4.77
3.073	284533	5.11
3.077	292568	5.25
3.080	291228	5.23
3.083	284433	5.11
3.087	273775	4.91
3.090	260768	4.68
3.093	248484	4.46
3.097	240227	4.31
3.100	237685	4.27
3.103	242721	4.36
3.107	256408	4.60
3.110	275959	4.95
3.113	301812	5.42
3.117	333528	5.99
3.120	365110	6.55
3.123	393318	7.06
3.127	415755	7.46
3.130	433336	7.78
3.133	450122	8.08
3.137	462036	8.29
3.140	464543	8.34
3.143	461481	8.28
3.147	456214	8.19
3.150	445371	7.99
3.153	426947	7.66
3.157	406340	7.29
3.160	388778	6.98
3.163	379470	6.81
3.167	383006	6.88
3.170	402593	7.23
3.173	437173	7.85
3.177	484181	8.69
3.180	540551	9.70
3.183	600705	10.78
3.187	657431	11.80
3.190	700550	12.58
3.193	727926	13.07
3.197	735873	13.21
3.200	711074	12.76
3.203	654157	11.74
3.207	580455	10.42
3.210	502744	9.02
3.213	426993	7.66
3.217	354915	6.37
3.220	291203	5.23
3.223	239750	4.30
3.227	199885	3.59
3.230	169545	3.04
3.233	147413	2.65
3.237	133021	2.39
3.240	123620	2.22
3.243	118331	2.12
3.247	116043	2.08
3.250	114519	2.06
3.253	114186	2.05
3.257	115519	2.07
3.260	118301	2.12
3.263	122506	2.20
3.267	127627	2.29
3.270	132949	2.39
3.273	137543	2.47
3.277	142361	2.56
3.280	144254	2.59
3.283	142384	2.56
3.287	139601	2.51
3.290	135729	2.44
3.293	129232	2.32
3.297	121727	2.19
3.300	115940	2.08
3.303	113053	2.03
3.307	110803	1.99
3.310	110928	1.99
3.313	115777	2.08
3.317	122863	2.21
3.320	130394	2.34
3.323	139898	2.51
3.327	151704	2.72
3.330	160811	2.89
3.333	165685	2.97
3.337	169241	3.04
3.340	170016	3.05
3.343	167897	3.01
3.347	161638	2.90
3.350	151703	2.72
3.353	139345	2.50
3.357	127102	2.28
3.360	115393	2.07
3.363	103722	1.86
3.367	94499	1.70
3.370	87793	1.58
3.373	84185	1.51
3.377	81273	1.46
3.380	80222	1.44
3.383	81351	1.46
3.387	83529	1.50
3.390	86494	1.55
3.393	91890	1.65
3.397	98719	1.77
3.400	107063	1.92
3.403	117647	2.11
3.407	129218	2.32
3.410	142815	2.56
3.413	157917	2.83
3.417	172355	3.09
3.420	185272	3.33
3.423	197877	3.55
3.427	210882	3.79
3.430	222928	4.00
3.433	234199	4.20
3.437	243558	4.37
3.440	248932	4.47
3.443	248931	4.47
3.447	243361	4.37
3.450	230887	4.14
3.453	213443	3.83
3.457	192999	3.46
3.460	172349	3.09
3.463	155241	2.79
3.467	141584	2.54
3.470	130854	2.35
3.473	124459	2.23
3.477	124459	2.23
3.480	129074	2.32
3.483	136817	2.46
3.487	148149	2.66
3.490	159886	2.87
3.493	169730	3.05
3.497	179042	3.21
3.500	185757	3.33
3.503	188489	3.38
3.507	185669	3.33
3.510	180020	3.23
3.513	174982	3.14
3.517	171423	3.08
3.520	167341	3.00
3.523	167028	3.00
3.527	171276	3.07
3.530	180515	3.24
3.533	196843	3.53
3.537	219048	3.93
3.540	244507	4.39
3.543	269125	4.83
3.547	289105	5.19
3.550	301833	5.42
3.553	305192	5.48
3.557	301502	5.41
3.560	288564	5.18
3.563	266738	4.79
3.567	241255	4.33
3.570	216016	3.88
3.573	193097	3.47
3.577	174952	3.14
3.580	160937	2.89
3.583	153432	2.75
3.587	153809	2.76
3.590	165099	2.96
3.593	183993	3.30
3.597	209662	3.76
3.600	241280	4.33
3.603	274584	4.93
3.607	304986	5.47
3.610	328493	5.90
3.613	339936	6.10
3.617	339862	6.10
3.620	330328	5.93
3.623	317306	5.70
3.627	302292	5.43
3.630	284492	5.11
3.633	269820	4.84
3.637	265066	4.76
3.640	272092	4.88
3.643	292041	5.24
3.647	328586	5.90
3.650	381229	6.84
3.653	450802	8.09
3.657	536006	9.62
3.660	628905	11.29
3.663	724996	13.01
3.667	819160	14.70
3.670	900590	16.17
3.673	955389	17.15
3.677	979972	17.59
3.680	969348	17.40
3.683	919687	16.51
3.687	845492	15.18
3.690	759702	13.64
3.693	668938	12.01
3.697	582371	10.45
3.700	505803	9.08
3.703	442610	7.95
3.707	395829	7.11
3.710	367999	6.61
3.713	352681	6.33
3.717	345409	6.20
3.720	344791	6.19
3.723	348069	6.25
3.727	352394	6.33
3.730	352336	6.32
3.733	344270	6.18
3.737	328593	5.90
3.740	308118	5.53
3.743	283666	5.09
3.747	255085	4.58
3.750	224832	4.04
3.753	197542	3.55
3.757	174881	3.14
3.760	158326	2.84
3.763	147170	2.64
3.767	139957	2.51
3.770	139950	2.51
3.773	147172	2.64
3.777	158263	2.84
3.780	172301	3.09
3.783	190407	3.42
3.787	210474	3.78
3.790	230055	4.13
3.793	248204	4.46
3.797	263209	4.72
3.800	272691	4.89
3.803	274512	4.93
3.807	271733	4.88
3.810	267222	4.80
3.813	262954	4.72
3.817	255323	4.58
3.820	245213	4.40
3.823	234990	4.22
3.827	226971	4.07
3.830	219421	3.94
3.833	210848	3.78
3.837	203417	3.65
3.840	195533	3.51
3.843	188031	3.38
3.847	183066	3.29
3.850	181187	3.25
3.853	180981	3.25
3.857	183578	3.30
3.860	191920	3.45
3.863	203661	3.66
3.867	220473	3.96
3.870	241750	4.34
3.873	264214	4.74
3.877	284731	5.11
3.880	300863	5.40
3.883	310600	5.58
3.887	314074	5.64
3.890	310597	5.58
3.893	300913	5.40
3.897	289635	5.20
3.900	277675	4.98
3.903	266510	4.78
3.907	259925	4.67
3.910	261029	4.69
3.913	272252	4.89
3.917	293140	5.26
3.920	323521	5.81
3.923	360139	6.46
3.927	397931	7.14
3.930	433448	7.78
3.933	458203	8.23
3.937	471435	8.46
3.940	473314	8.50
3.943	460132	8.26
3.947	434753	7.80
3.950	401333	7.20
3.953	363241	6.52
3.957	331226	5.95
3.960	309171	5.55
3.963	295913	5.31
3.967	293750	5.27
3.970	300708	5.40
3.973	314013	5.64
3.977	329464	5.91
3.980	339655	6.10
3.983	344267	6.18
3.987	342043	6.14
3.990	331221	5.95
3.993	315803	5.67
3.997	299684	5.38
4.000	281724	5.06
4.003	264289	4.74
4.007	251822	4.52
4.010	246257	4.42
4.013	246372	4.42
4.017	254217	4.56
4.020	266736	4.79
4.023	279636	5.02
4.027	291819	5.24
4.030	305039	5.48
4.033	318601	5.72
4.037	332023	5.96
4.040	348653	6.26
4.043	367414	6.60
4.047	388763	6.98
4.050	414234	7.44
4.053	441696	7.93
4.057	470324	8.44
4.060	496769	8.92
4.063	519900	9.33
4.067	538800	9.67
4.070	551958	9.91
4.073	561001	10.07
4.077	563433	10.11
4.080	557036	10.00
4.083	543343	9.75
4.087	520482	9.34
4.090	489846	8.79
4.093	451596	8.11
4.097	412330	7.40
4.100	377074	6.77
4.103	344335	6.18
4.107	316591	5.68
4.110	298096	5.35
4.113	290878	5.22
4.117	298076	5.35
4.120	317475	5.70
4.123	344553	6.18
4.127	380223	6.83
4.130	420722	7.55
4.133	464430	8.34
4.137	506248	9.09
4.140	538730	9.67
4.143	561105	10.07
4.147	571686	10.26
4.150	566075	10.16
4.153	550749	9.89
4.157	530278	9.52
4.160	501286	9.00
4.163	464854	8.34
4.167	425442	7.64
4.170	384113	6.90
4.173	343096	6.16
4.177	304672	5.47
4.180	272785	4.90
4.183	244797	4.39
4.187	220312	3.95
4.190	200960	3.61
4.193	186093	3.34
4.197	176079	3.16
4.200	173936	3.12
4.203	187901	3.37
4.207	228157	4.10
4.210	301876	5.42
4.213	420755	7.55
4.217	601764	10.80
4.220	850995	15.28
4.223	1159618	20.82
4.227	1519807	27.28
4.230	1897520	34.06
4.233	2252213	40.43
4.237	2575368	46.23
4.240	2831371	50.83
4.243	2967513	53.27
4.247	2962969	53.19
4.250	2825270	50.72
4.253	2589155	46.48
4.257	2289827	41.10
4.260	1945731	34.93
4.263	1589558	28.53
4.267	1262250	22.66
4.270	988822	17.75
4.273	778759	13.98
4.277	627625	11.27
4.280	524325	9.41
4.283	460474	8.27
4.287	427650	7.68
4.290	417461	7.49
4.293	423224	7.60
4.297	436810	7.84
4.300	450654	8.09
4.303	457964	8.22
4.307	455248	8.17
4.310	443900	7.97
4.313	421222	7.56
4.317	388078	6.97
4.320	349029	6.27
4.323	307882	5.53
4.327	268433	4.82
4.330	233469	4.19
4.333	205271	3.68
4.337	185790	3.34
4.340	176159	3.16
4.343	173258	3.11
4.347	176576	3.17
4.350	185336	3.33
4.353	196206	3.52
4.357	208435	3.74
4.360	218235	3.92
4.363	223030	4.00
4.367	225334	4.04
4.370	225589	4.05
